warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
p1 size=6.5 bold=True x0=114 | SYNTHETIC TEST DATA — GENERATED FOR SOFTWARE QA — NOT A REAL SOLICITATION, COMPANY, OR CREDENTIAL
p2 size=7.0 bold=False x0=448 | MOCK DOCUMENT — TEST FIXTURE
p2 size=8.5 bold=False x0=74 | Past Performance & References
p2 size=8.5 bold=False x0=226 | 20
p2 size=8.5 bold=False x0=269 | Minimum 2 references of comparable scope (public-sector facility preferred), reference scor
p2 size=8.5 bold=False x0=74 | Price Proposal
p2 size=8.5 bold=False x0=226 | 25
p2 size=8.5 bold=False x0=269 | 5-year CLIN pricing schedule, cost realism, escalation methodology
p2 size=8.5 bold=False x0=74 | Small Business / JSEB Participation
p2 size=8.5 bold=False x0=226 | 5
p2 size=8.5 bold=False x0=269 | Certified JSEB prime or subcontracted participation percentage
p2 size=12.5 bold=True x0=56 | 3. Minimum Qualification Requirements
p2 size=9.5 bold=False x0=56 | • Active Florida business registration (Sunbiz) in good standing
p2 size=9.5 bold=False x0=56 | • Minimum 3 years' continuous experience in commercial/institutional janitorial services
p2 size=9.5 bold=False x0=56 | • Current Commercial General Liability: $2,000,000 per occurrence / $4,000,000 aggregate
p2 size=9.5 bold=False x0=56 | • Current Workers' Compensation coverage at Florida statutory limits
p2 size=9.5 bold=False x0=56 | • Current Commercial Auto Liability: $1,000,000 combined single limit
p2 size=9.5 bold=False x0=56 | • All on-site staff must pass a Level 2 background check prior to facility access (courthouse complex requirement)
p2 size=8.0 bold=False x0=56 | This solicitation is a fictional test fixture generated for software quality assurance. It does not correspond to any real, open, or pending City of
p2 size=8.0 bold=False x0=56 | Jacksonville procurement.
